IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140009459,ARSON,ARSON,Saturday,1/4/2014,3:52,NORTHERN,"ARREST, BOOKED",SACRAMENTO ST / POLK ST,-122.4208746,37.79149431,"(37.7914943051906, -122.420874632415)"
140042001,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,1/5/2014,12:30,CENTRAL,NONE,SANSOME ST / BUSH ST,-122.4007486,37.79117768,"(37.7911776792224, -122.400748631911)"
140071185,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,1/6/2014,18:00,TARAVAL,NONE,WILSON ST / RHINE ST,-122.4611392,37.70908492,"(37.7090849156407, -122.461139183524)"
140094892,ASSAULT,BATTERY,Saturday,1/7/2014,16:33,SOUTHERN,NONE,MARKET ST / 3RD ST,-122.4034341,37.78764305,"(37.78764305018, -122.403434086745)"
140096371,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,1/8/2014,6:50,SOUTHERN,NONE,MISSION ST / 11TH ST,-122.4171049,37.77432429,"(37.7743242867908, -122.417104895556)"
140127540,ASSAULT,THREATS AGAINST LIFE,Wednesday,1/9/2014,16:54,BAYVIEW,NONE,SAN BRUNO AV / BACON ST,-122.4035953,37.7276341,"(37.7276340992506, -122.403595293514)"
150017276,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,1/10/2014,16:53,NORTHERN,NONE,700 Block of ELLIS ST,-122.4185621,37.78418471,"(37.7841847091303, -122.418562097105)"
150007374,OTHER OFFENSES,CONSPIRACY,Saturday,1/11/2014,14:06,SOUTHERN,"ARREST, BOOKED",JONES ST / MCALLISTER ST,-122.4119795,37.78090397,"(37.7809039696758, -122.411979487494)"
150017787,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Tuesday,1/12/2014,13:00,INGLESIDE,NONE,2900 Block of ALEMANY BL,-122.4526193,37.71168739,"(37.7116873915892, -122.452619318946)"
140152274,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,1/13/2014,2:00,INGLESIDE,NONE,MISSION ST / 30TH ST,-122.4219709,37.74237522,"(37.7423752245255, -122.421970919029)"
146040665,NON-CRIMINAL,LOST PROPERTY,Thursday,1/14/2014,16:40,PARK,NONE,MASONIC AV / GROVE ST,-122.4462856,37.77487073,"(37.7748707258015, -122.446285631005)"
140191006,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,1/15/2014,19:00,NORTHERN,NONE,GEARY BL / FILLMORE ST,-122.4329146,37.78435334,"(37.7843533426568, -122.432914603494)"
146045734,NON-CRIMINAL,LOST PROPERTY,Wednesday,1/16/2014,8:40,SOUTHERN,NONE,4TH ST / KING ST,-122.3941026,37.77638271,"(37.7763827130285, -122.394102624525)"
146046704,NON-CRIMINAL,LOST PROPERTY,Friday,1/17/2014,19:20,SOUTHERN,NONE,MARKET ST / 2ND ST,-122.4013781,37.78926393,"(37.7892639310458, -122.401378067544)"
146048368,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,1/18/2014,22:00,CENTRAL,NONE,PINE ST / HYDE ST,-122.4172096,37.7900459,"(37.7900459017168, -122.41720963943)"
140195020,NON-CRIMINAL,AIDED CASE,Friday,1/19/2014,6:25,TENDERLOIN,NONE,EDDY ST / MASON ST,-122.4093131,37.78434785,"(37.7843478513151, -122.409313111431)"
146054729,NON-CRIMINAL,LOST PROPERTY,Monday,1/20/2014,18:00,CENTRAL,NONE,CLAY ST / KEARNY ST,-122.4047994,37.79445254,"(37.7944525389481, -122.404799424951)"
146052319,NON-CRIMINAL,LOST PROPERTY,Sunday,1/21/2014,14:00,CENTRAL,NONE,BEACH ST / LARKIN ST,-122.4221994,37.80643511,"(37.8064351103515, -122.42219944483)"
146057585,NON-CRIMINAL,LOST PROPERTY,Wednesday,1/22/2014,6:50,TARAVAL,NONE,9TH AV / JUDAH ST,-122.4661808,37.76217382,"(37.7621738188702, -122.466180771685)"
140258377,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,1/23/2014,19:15,MISSION,"ARREST, BOOKED",16TH ST / UTAH ST,-122.4065537,37.76584264,"(37.7658426354415, -122.406553700757)"
146052773,NON-CRIMINAL,FOUND PROPERTY,Sunday,1/24/2014,2:00,MISSION,NONE,14TH ST / MISSION ST,-122.4199834,37.76827268,"(37.7682726763619, -122.419983447697)"
150021346,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,1/25/2014,17:30,INGLESIDE,NONE,200 Block of TEDDY AV,-122.407583,37.71481892,"(37.7148189169113, -122.407583029168)"
140281500,LARCENY/THEFT,PETTY THEFT BICYCLE,Friday,1/26/2014,19:30,SOUTHERN,NONE,5TH ST / MISSION ST,-122.406482,37.78273179,"(37.7827317884887, -122.406481972743)"
150022297,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,1/27/2014,8:55,SOUTHERN,NONE,200 Block of 11TH ST,-122.4146475,37.77244234,"(37.7724423373209, -122.414647523858)"
150011660,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,1/28/2014,2:40,SOUTHERN,NONE,200 Block of 5TH ST,-122.4042109,37.7808487,"(37.7808486964235, -122.40421085252)"
150022065,NON-CRIMINAL,"AIDED CASE, DOG BITE",Thursday,1/29/2014,8:25,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054,"(37.7725405391593, -122.466204667893)"
140323130,NON-CRIMINAL,LOST PROPERTY,Friday,1/30/2014,16:00,RICHMOND,NONE,JOHNFKENNEDY DR / 47TH AV,-122.4898047,37.77089178,"(37.7708917848848, -122.489804747862)"
140326178,ASSAULT,BATTERY,Saturday,1/31/2014,18:09,MISSION,NONE,MISSION ST / 16TH ST,-122.4196718,37.76505012,"(37.7650501214668, -122.419671780296)"
140266530,NON-CRIMINAL,LOCATED PROPERTY,Sunday,2/1/2014,18:41,PARK,NONE,MASONIC AV / PAGE ST,-122.4455373,37.77114176,"(37.7711417554207, -122.44553734204)"
140356846,NON-CRIMINAL,LOST PROPERTY,Saturday,2/2/2014,19:00,RICHMOND,NONE,7TH AV / FULTON ST,-122.4648123,37.77348934,"(37.773489338522, -122.464812286077)"
150023994,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,2/3/2014,15:30,INGLESIDE,NONE,LELAND AV / SAWYER ST,-122.413894,37.7143149,"(37.7143149031434, -122.413894000049)"
150026669,MISSING PERSON,FOUND PERSON,Friday,2/4/2014,9:30,NORTHERN,NONE,2200 Block of CLAY ST,-122.4301188,37.7912863,"(37.791286303662, -122.430118762295)"
140386263,ASSAULT,BATTERY,Thursday,2/5/2014,7:40,SOUTHERN,"ARREST, CITED",2ND ST / MARKET ST,-122.4013781,37.78926393,"(37.7892639310458, -122.401378067544)"
146093874,NON-CRIMINAL,LOST PROPERTY,Thursday,2/6/2014,11:00,SOUTHERN,NONE,MONTGOMERY ST / MARKET ST,-122.4020702,37.78871987,"(37.7887198688133, -122.402070243227)"
140409445,VEHICLE THEFT,STOLEN TRUCK,Friday,2/7/2014,0:46,TENDERLOIN,"ARREST, BOOKED",HYDE ST / OFARRELL ST,-122.4162618,37.78537508,"(37.7853750846376, -122.416261836834)"
146098119,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,2/8/2014,19:30,SOUTHERN,NONE,MINNA ST / 3RD ST,-122.4014943,37.78582843,"(37.7858284327692, -122.401494315269)"
140443744,NON-CRIMINAL,LOST PROPERTY,Tuesday,2/9/2014,19:20,CENTRAL,NONE,BEACH ST / STOCKTON ST,-122.4106907,37.80789119,"(37.8078911906226, -122.410690675854)"
140467380,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,2/10/2014,3:20,CENTRAL,NONE,POST ST / HYDE ST,-122.4166424,37.78724504,"(37.787245037815, -122.416642370005)"
140471240,ASSAULT,BATTERY,Friday,2/11/2014,10:30,NORTHERN,NONE,9TH ST / MARKET ST,-122.4162938,37.77749368,"(37.777493677735, -122.416293820935)"
140504120,ARSON,ARSON,Tuesday,2/12/2014,22:11,SOUTHERN,NONE,TEHAMA ST / 1ST ST,-122.3954812,37.78809256,"(37.7880925564265, -122.395481217023)"
150019937,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,2/13/2014,20:50,MISSION,NONE,2000 Block of MISSION ST,-122.4195204,37.76422894,"(37.764228935718, -122.419520367886)"
150026885,WARRANTS,WARRANT ARREST,Friday,2/14/2014,16:25,NORTHERN,"ARREST, BOOKED",700 Block of LARKIN ST,-122.417688,37.78448176,"(37.784481757201, -122.417688009568)"
140520728,NON-CRIMINAL,LOST PROPERTY,Sunday,2/15/2014,19:45,MISSION,NONE,24TH ST / MISSION ST,-122.4184482,37.75223917,"(37.7522391652625, -122.418448186101)"
150027128,MISSING PERSON,MISSING JUVENILE,Thursday,2/16/2014,7:30,INGLESIDE,NONE,100 Block of BERTITA ST,-122.4404225,37.71873419,"(37.7187341876878, -122.440422494732)"
140205817,WARRANTS,WARRANT ARREST,Monday,2/17/2014,16:51,NORTHERN,"ARREST, BOOKED",CLAY ST / LARKIN ST,-122.4194042,37.79259229,"(37.7925922910686, -122.419404206594)"
140557997,VEHICLE THEFT,STOLEN TRUCK,Saturday,2/18/2014,18:00,BAYVIEW,"ARREST, BOOKED",REVERE AV / HAWES ST,-122.3826906,37.72742614,"(37.727426135786, -122.382690587869)"
150035325,NON-CRIMINAL,FOUND PROPERTY,Monday,2/19/2014,15:45,MISSION,NONE,18TH ST / MISSION ST,-122.4193604,37.7618358,"(37.7618358012376, -122.419360352761)"
150036470,ASSAULT,THREATS AGAINST LIFE,Monday,2/20/2014,16:30,TENDERLOIN,NONE,200 Block of JONES ST,-122.4124369,37.78348575,"(37.7834857455601, -122.412436901867)"
140662687,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,2/21/2014,2:50,SOUTHERN,NONE,MARKET ST / 5TH ST,-122.4080683,37.78399168,"(37.7839916768161, -122.408068345148)"
140673098,NON-CRIMINAL,LOST PROPERTY,Monday,2/22/2014,16:30,MISSION,NONE,19TH ST / DOLORES ST,-122.4259205,37.75982792,"(37.7598279172229, -122.425920487436)"
150025837,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,2/23/2014,9:30,BAYVIEW,NONE,100 Block of WILLIAMS AV,-122.3968053,37.7298013,"(37.7298013049261, -122.39680526736)"
150027300,ROBBERY,"ROBBERY OF A COMMERCIAL ESTABLISHMENT, STRONGARM",Friday,2/24/2014,18:32,SOUTHERN,"ARREST, BOOKED",1500 Block of MISSION ST,-122.4179754,37.77375094,"(37.7737509379648, -122.417975390351)"
146166192,NON-CRIMINAL,LOST PROPERTY,Sunday,2/25/2014,19:30,RICHMOND,NONE,FULTON ST / 36TH AV,-122.4959709,37.77202917,"(37.7720291662959, -122.4959708572)"
140688467,ASSAULT,BATTERY,Saturday,2/26/2014,10:45,RICHMOND,NONE,24TH AV / GEARY BL,-122.4836636,37.7801399,"(37.7801399018132, -122.483663577628)"
150026982,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,2/27/2014,19:30,SOUTHERN,NONE,400 Block of BRYANT ST,-122.3952605,37.78170349,"(37.7817034867796, -122.395260522807)"
150027485,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Friday,2/28/2014,19:19,BAYVIEW,JUVENILE BOOKED,1000 Block of CAROLINA ST,-122.3996375,37.75597397,"(37.7559739737626, -122.399637532645)"
150027645,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,3/1/2014,21:00,TARAVAL,"ARREST, BOOKED",19TH AV / ULLOA ST,-122.4755394,37.74118712,"(37.7411871223913, -122.475539360283)"
150027849,NON-CRIMINAL,SEARCH WARRANT SERVICE,Friday,3/2/2014,22:02,NORTHERN,"ARREST, BOOKED",200 Block of LAGUNA ST,-122.4257227,37.77343053,"(37.7734305349811, -122.425722704575)"
150027877,ROBBERY,ROBBERY ON THE STREET WITH A DANGEROUS WEAPON,Friday,3/3/2014,22:00,SOUTHERN,NONE,800 Block of MARKET ST,-122.406521,37.78506294,"(37.7850629421661, -122.406520987144)"
150042160,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Wednesday,3/4/2014,16:39,INGLESIDE,"ARREST, BOOKED",1700 Block of SUNNYDALE AV,-122.417108,37.71225618,"(37.7122561827524, -122.417107986993)"
140796032,VEHICLE THEFT,STOLEN TRUCK,Monday,3/5/2014,21:00,PARK,NONE,OAK ST / STANYAN ST,-122.4539816,37.77142786,"(37.7714278595913, -122.453981622365)"
140815949,WARRANTS,WARRANT ARREST,Saturday,3/6/2014,15:26,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.4196718,37.76505012,"(37.7650501214668, -122.419671780296)"
146200568,NON-CRIMINAL,LOST PROPERTY,Friday,3/7/2014,18:45,NORTHERN,NONE,EDDY ST / GOUGH ST,-122.4241093,37.78247564,"(37.7824756422772, -122.424109315499)"
100620186,ASSAULT,ATTEMPTED HOMICIDE WITH A GUN,Wednesday,3/8/2014,16:30,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)"
140844910,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,3/9/2014,22:00,SOUTHERN,NONE,GALLAGHER LN / TEHAMA ST,-122.4033292,37.78192844,"(37.7819284423854, -122.403329153298)"
120554383,OTHER OFFENSES,RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER,Friday,3/10/2014,14:33,SOUTHERN,NONE,400 Block of NATOMA ST,-122.4069413,37.78067877,"(37.7806787734071, -122.406941270083)"
120554383,KIDNAPPING,FALSE IMPRISONMENT,Friday,3/11/2014,14:33,SOUTHERN,NONE,400 Block of NATOMA ST,-122.4069413,37.78067877,"(37.7806787734071, -122.406941270083)"
